sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
290,,Default,simple,"Default Category,Default Category/Accessori,Default Category/Accessori/Parrucche,Default Category/Accessori/Altri Accessori,Default Category/Accessori/Maschere",base,"Maschera Psycho Clown","<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">""""</div>","Maschera Psycho Clown",1.000000,1,"Taxable Goods","Catalog, Search",66.580000,,,,maschera-psycho-clown,,,,/2/6/26219psychoclown.jpg,,/2/6/26219psychoclown.jpg,,/2/6/26219psychoclown.jpg,,,,"12/18/24, 10:47 PM","1/16/25, 8:08 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,tag_prodotto=gotiche,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,"/2/6/26219psychoclown.jpg,/t/r/trasferimento.jpeg,/t/r/trasferimento_1_.jpeg,/t/r/trasferimento_2_.jpeg,/6/2/624887722-8783d0608fa034e4c3869303b542d7db4de9ce47cf94ead2deddba1d46ca3ecb-d_640",",,,,",,,,,,,,,,,,,
292,,Default,simple,"Default Category/Accessori,Default Category/Accessori/Maschere",base,"Maschera Penny Wise Clown","""""","Maschera Penny Wise Clown",1.000000,1,"Taxable Goods","Catalog, Search",66.580000,,,,maschera-penny-wise-clown,,,,/2/6/26247pennywiseclown.jpg,,/2/6/26247pennywiseclown.jpg,,/2/6/26247pennywiseclown.jpg,,,,"12/18/24, 10:47 PM","12/27/24, 3:24 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,tag_prodotto=gotiche,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/2/6/26247pennywiseclown.jpg,,,,,,,,,,,,,,
295,,Default,simple,,base,"Maschere Pretty Woman","""""","Maschere Pretty Woman",1.000000,1,"Taxable Goods","Catalog, Search",49.920000,,,,maschere-pretty-woman,,,,/2/6/26113prettywoman.jpg,,/2/6/26113prettywoman.jpg,,/2/6/26113prettywoman.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/2/6/26113prettywoman.jpg,,,,,,,,,,,,,,
297,,Default,simple,"Default Category/Accessori,Default Category/Accessori/Maschere",base,"Maschera Blind Mutant","<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">""""</div>","Maschera Blind Mutant",1.000000,1,"Taxable Goods","Catalog, Search",49.920000,,,,maschera-blind-mutant,,,,/2/6/26258blindmutant.jpg,,/2/6/26258blindmutant.jpg,,/2/6/26258blindmutant.jpg,,,,"12/18/24, 10:47 PM","12/27/24, 3:24 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,tag_prodotto=gotiche,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,/2/6/26258blindmutant.jpg,,,,,,,,,,,,,,
299,,Default,simple,"Default Category/Accessori,Default Category/Accessori/Maschere",base,"Maschera Minotauros","""""","Maschera Minotauros",1.000000,1,"Taxable Goods","Catalog, Search",124.920000,,,,maschera-minotauros,,,,/2/6/26233minotaurus.jpg,,/2/6/26233minotaurus.jpg,,/2/6/26233minotaurus.jpg,,,,"12/18/24, 10:47 PM","12/27/24, 3:24 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,tag_prodotto=gotiche,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/2/6/26233minotaurus.jpg,,,,,,,,,,,,,,
326,,Default,simple,"Default Category/Accessori,Default Category/Accessori/Parrucche",base,"Parrucca 5978D","""""","Parrucca 5978D",1.000000,1,"Taxable Goods","Catalog, Search",12.420000,,,,parrucca-5978d,,,,/p/a/parrucca_5978d.jpg,,/p/a/parrucca_5978d.jpg,,/p/a/parrucca_5978d.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,0,1,1.0000,1,0,0,0,,,,,,,/p/a/parrucca_5978d.jpg,,,,,,,,,,,,,,
327,,Default,simple,,base,"Parrucca V0973","""""","Parrucca V0973",1.000000,1,"Taxable Goods","Catalog, Search",16.580000,,,,parrucca-v0973,,,,/p/a/parrucca_v0973.jpg,,/p/a/parrucca_v0973.jpg,,/p/a/parrucca_v0973.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/p/a/parrucca_v0973.jpg,,,,,,,,,,,,,,
328,,Default,simple,,base,"Parrucca E0928","""""","Parrucca E0928",1.000000,1,"Taxable Goods","Catalog, Search",16.580000,,,,parrucca-e0928,,,,/p/a/parrucca_e0928.jpg,,/p/a/parrucca_e0928.jpg,,/p/a/parrucca_e0928.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/p/a/parrucca_e0928.jpg,,,,,,,,,,,,,,
329,,Default,simple,,base,"Country 19105","""Civetta Birgit mini""","Country 19105",1.000000,1,"Taxable Goods","Catalog, Search",10.750000,,,,country-19105,,,,/c/o/country19105.jpg,,/c/o/country19105.jpg,,/c/o/country19105.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/c/o/country19105.jpg,,,,,,,,,,,,,,
330,,Default,simple,,base,"Country 19257","""<p>Riccio Struppi mini</p>""","Country 19257",1.000000,1,"Taxable Goods","Catalog, Search",10.750000,,,,country-19257,,,,/c/o/country19257.jpg,,/c/o/country19257.jpg,,/c/o/country19257.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/c/o/country19257.jpg,,,,,,,,,,,,,,
331,,Default,simple,,base,"Country 19262","""Riccio Edi grende""","Country 19262",1.000000,1,"Taxable Goods","Catalog, Search",37.420000,,,,country-19262,,,,/c/o/coutry19262.jpg,,/c/o/coutry19262.jpg,,/c/o/coutry19262.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/c/o/coutry19262.jpg,,,,,,,,,,,,,,
332,,Default,simple,,base,"Country 19263","""Riccio Edi Medio""","Country 19263",1.000000,1,"Taxable Goods","Catalog, Search",16.580000,,,,country-19263,,,,/c/o/country19263.jpg,,/c/o/country19263.jpg,,/c/o/country19263.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/c/o/country19263.jpg,,,,,,,,,,,,,,
334,,Default,simple,,base,"Country 19966","""Riccio Clemens appollaiato mini""","Country 19966",1.000000,1,"Taxable Goods","Catalog, Search",12.420000,,,,country-19966,,,,/c/o/country19966.jpg,,/c/o/country19966.jpg,,/c/o/country19966.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/c/o/country19966.jpg,,,,,,,,,,,,,,
335,,Default,simple,,base,"Country 20772","""Civetta Larissa piccolo""","Country 20772",1.000000,1,"Taxable Goods","Catalog, Search",8.250000,,,,country-20772,,,,/c/o/country20772.jpg,,/c/o/country20772.jpg,,/c/o/country20772.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/c/o/country20772.jpg,,,,,,,,,,,,,,
336,,Default,simple,,base,"Country 26638","""Scoiattolo Smile Florian piccolo""","Country 26638",1.000000,1,"Taxable Goods","Catalog, Search",24.920000,,,,country-26638,,,,/c/o/country26638.jpg,,/c/o/country26638.jpg,,/c/o/country26638.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/c/o/country26638.jpg,,,,,,,,,,,,,,
337,,Default,simple,,base,"Country 28066","""Cervo Hilbrecht in piedi mini""","Country 28066",1.000000,1,"Taxable Goods","Catalog, Search",16.580000,,,,country-28066,,,,/c/o/country28066.jpg,,/c/o/country28066.jpg,,/c/o/country28066.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/c/o/country28066.jpg,,,,,,,,,,,,,,
338,,Default,simple,,base,"Country 28169","""Scoiattolo Ewald grande""","Country 28169",1.000000,1,"Taxable Goods","Catalog, Search",33.250000,,,,country-28169,,,,/c/o/country28169.jpg,,/c/o/country28169.jpg,,/c/o/country28169.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/c/o/country28169.jpg,,,,,,,,,,,,,,
339,,Default,simple,,base,"Country 28211","""Civetta Briska piccolo""","Country 28211",1.000000,1,"Taxable Goods","Catalog, Search",16.580000,,,,country-28211,,,,/c/o/country28211.jpg,,/c/o/country28211.jpg,,/c/o/country28211.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/c/o/country28211.jpg,,,,,,,,,,,,,,
340,,Default,simple,,base,"Country 28514","""<p>Riccio Sigfried appollaiato piccolo</p>""","Country 28514",1.000000,1,"Taxable Goods","Catalog, Search",10.750000,,,,country-28514,,,,/c/o/country28514.jpg,,/c/o/country28514.jpg,,/c/o/country28514.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/c/o/country28514.jpg,,,,,,,,,,,,,,
341,,Default,simple,,base,"Country 28685","""Cervo Barry in piedi super mini""","Country 28685",1.000000,1,"Taxable Goods","Catalog, Search",5.750000,,,,country-28685,,,,/c/o/country28685.jpg,,/c/o/country28685.jpg,,/c/o/country28685.jpg,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,0,1,0.0000,1,0,0,0,,,,,,,/c/o/country28685.jpg,,,,,,,,,,,,,,
